 Epoch   |          losses           |   Recall@ 5   |    NDCG@ 5    |   Recall@10   |    NDCG@10    |   Recall@20   |    NDCG@20    |
/content/BundleMage/src/utils.py:44: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:621.)
  t = torch.sparse.FloatTensor(indices, torch.from_numpy(values).float(), [samples, features])
 59 Rec | 393.4218  69.4763  88.0295 | 0.5452 0.5870 | 0.4080 0.4431 | 0.6745 0.7095 | 0.4499 0.4829 | 0.7751 0.8029 | 0.4755 0.5066 |      12.80     776.47
 60 Rec | 395.1921  69.1440  87.6040 | 0.5497 0.5867 | 0.4143 0.4464 | 0.6725 0.7098 | 0.4540 0.4865 | 0.7801 0.8032 | 0.4815 0.5102 |      12.78     789.61
============================ CUR BEST ============================
 60 Rec | 395.1921  69.1440  87.6040 | 0.5497 0.5867 | 0.4143 0.4464 | 0.6725 0.7098 | 0.4540 0.4865 | 0.7801 0.8032 | 0.4815 0.5102 |      12.78     789.61
=================================================================
 61 Rec | 390.3547  68.8676  87.2559 | 0.5579 0.5961 | 0.4226 0.4528 | 0.6815 0.7163 | 0.4628 0.4920 | 0.7810 0.8066 | 0.4880 0.5149 |      12.76     802.72
 62 Rec | 387.9549  68.7900  87.1641 | 0.5565 0.5976 | 0.4207 0.4541 | 0.6819 0.7183 | 0.4616 0.4933 | 0.7812 0.8095 | 0.4868 0.5164 |      12.76     815.82
 63 Rec | 389.4269  68.6010  86.9248 | 0.5610 0.6038 | 0.4245 0.4594 | 0.6858 0.7209 | 0.4650 0.4973 | 0.7841 0.8106 | 0.4899 0.5201 |      12.72     828.86
 64 Rec | 387.2531  68.3400  86.5956 | 0.5601 0.6069 | 0.4274 0.4621 | 0.6898 0.7223 | 0.4694 0.4995 | 0.7877 0.8146 | 0.4942 0.5230 |      12.75     841.97
 65 Rec | 387.9246  68.2065  86.4279 | 0.5565 0.6047 | 0.4258 0.4623 | 0.6889 0.7223 | 0.4688 0.5007 | 0.7889 0.8134 | 0.4942 0.5240 |      12.70     855.04
 66 Rec | 390.1441  67.9998  86.1629 | 0.5610 0.6087 | 0.4305 0.4675 | 0.6896 0.7271 | 0.4723 0.5061 | 0.7893 0.8177 | 0.4976 0.5291 |      12.74     868.18
 67 Rec | 389.7212  67.8394  85.9622 | 0.5628 0.6078 | 0.4328 0.4686 | 0.6930 0.7289 | 0.4751 0.5081 | 0.7877 0.8177 | 0.4990 0.5308 |      12.80     881.41
 68 Rec | 380.9604  67.7122  85.8015 | 0.5664 0.6135 | 0.4337 0.4722 | 0.6937 0.7320 | 0.4751 0.5109 | 0.7898 0.8194 | 0.4994 0.5332 |      12.89     894.77
 69 Rec | 384.0063  67.5844  85.6428 | 0.5644 0.6095 | 0.4331 0.4688 | 0.6941 0.7328 | 0.4753 0.5092 | 0.7913 0.8203 | 0.5000 0.5315 |      12.87     908.13
 70 Rec | 381.4013  67.4536  85.4758 | 0.5685 0.6126 | 0.4328 0.4691 | 0.6975 0.7357 | 0.4748 0.5093 | 0.7929 0.8223 | 0.4989 0.5313 |      12.90     921.39
 71 Rec | 383.6923  67.3145  85.3031 | 0.5673 0.6138 | 0.4351 0.4720 | 0.6982 0.7383 | 0.4777 0.5126 | 0.7929 0.8206 | 0.5017 0.5335 |      12.97     934.74
 72 Rec | 386.3282  67.2161  85.1774 | 0.5755 0.6158 | 0.4410 0.4748 | 0.7034 0.7397 | 0.4825 0.5153 | 0.7945 0.8226 | 0.5056 0.5364 |      12.93     948.01
 73 Rec | 388.6081  67.2393  85.2085 | 0.5761 0.6198 | 0.4390 0.4749 | 0.7029 0.7394 | 0.4802 0.5137 | 0.7945 0.8228 | 0.5034 0.5350 |      12.87     961.24
 74 Rec | 381.7061  67.0241  84.9320 | 0.5768 0.6206 | 0.4402 0.4762 | 0.7047 0.7397 | 0.4817 0.5150 | 0.7958 0.8231 | 0.5047 0.5363 |      12.93     974.54
 75 Rec | 386.5897  66.9167  84.7985 | 0.5746 0.6215 | 0.4401 0.4766 | 0.7034 0.7420 | 0.4821 0.5158 | 0.7992 0.8248 | 0.5064 0.5369 |      12.86     987.77
 76 Rec | 376.2958  66.8802  84.7539 | 0.5809 0.6243 | 0.4432 0.4788 | 0.7054 0.7437 | 0.4837 0.5177 | 0.7988 0.8257 | 0.5074 0.5386 |      12.81    1000.90
 77 Rec | 379.2382  66.8069  84.6637 | 0.5784 0.6257 | 0.4411 0.4805 | 0.7036 0.7477 | 0.4819 0.5202 | 0.7983 0.8263 | 0.5059 0.5402 |      12.87    1014.14
 78 Rec | 378.3518  66.7373  84.5752 | 0.5813 0.6283 | 0.4429 0.4808 | 0.7038 0.7454 | 0.4828 0.5189 | 0.7986 0.8285 | 0.5068 0.5401 |      12.87    1027.33
 79 Rec | 376.9927  66.6406  84.4540 | 0.5815 0.6249 | 0.4442 0.4802 | 0.7063 0.7477 | 0.4847 0.5202 | 0.7979 0.8288 | 0.5079 0.5409 |      12.87    1040.54
 80 Rec | 379.0146  66.5963  84.3995 | 0.5824 0.6292 | 0.4423 0.4803 | 0.7045 0.7494 | 0.4819 0.5194 | 0.8013 0.8302 | 0.5064 0.5399 |      12.86    1053.76
============================ CUR BEST ============================
 80 Rec | 379.0146  66.5963  84.3995 | 0.5824 0.6292 | 0.4423 0.4803 | 0.7045 0.7494 | 0.4819 0.5194 | 0.8013 0.8302 | 0.5064 0.5399 |      12.86    1053.76
=================================================================
 81 Rec | 377.1462  66.5781  84.3774 | 0.5863 0.6255 | 0.4449 0.4818 | 0.7045 0.7496 | 0.4831 0.5222 | 0.8004 0.8305 | 0.5073 0.5428 |      13.00    1067.13
 82 Rec | 379.1980  66.5146  84.2972 | 0.5856 0.6255 | 0.4456 0.4808 | 0.7043 0.7499 | 0.4839 0.5213 | 0.8010 0.8322 | 0.5084 0.5422 |      12.85    1080.36
 83 Rec | 386.8074  66.4771  84.2505 | 0.5806 0.6269 | 0.4443 0.4791 | 0.7040 0.7499 | 0.4843 0.5191 | 0.7999 0.8308 | 0.5086 0.5398 |      12.87    1093.55
 84 Rec | 378.4852  66.4558  84.2258 | 0.5800 0.6303 | 0.4434 0.4812 | 0.7007 0.7485 | 0.4826 0.5196 | 0.8008 0.8328 | 0.5080 0.5410 |      12.75    1106.63
 85 Rec | 374.1138  66.3284  84.0634 | 0.5829 0.6275 | 0.4453 0.4811 | 0.7022 0.7488 | 0.4842 0.5206 | 0.8004 0.8320 | 0.5091 0.5418 |      12.77    1119.73
 86 Rec | 379.0204  66.3441  84.0847 | 0.5777 0.6252 | 0.4421 0.4792 | 0.7000 0.7474 | 0.4818 0.5190 | 0.8001 0.8328 | 0.5073 0.5408 |      12.97    1133.01
 87 Rec | 378.4595  66.3184  84.0501 | 0.5791 0.6283 | 0.4433 0.4811 | 0.7013 0.7479 | 0.4832 0.5200 | 0.8040 0.8322 | 0.5093 0.5416 |      13.16    1146.53
 88 Rec | 375.5635  66.2383  83.9447 | 0.5874 0.6289 | 0.4477 0.4809 | 0.7061 0.7522 | 0.4863 0.5210 | 0.8062 0.8325 | 0.5116 0.5416 |      13.05    1159.99
 89 Rec | 374.0134  66.1932  83.8890 | 0.5854 0.6300 | 0.4451 0.4823 | 0.7049 0.7528 | 0.4841 0.5222 | 0.8046 0.8320 | 0.5093 0.5424 |      13.15    1173.61
 90 Rec | 375.3290  66.1597  83.8472 | 0.5843 0.6312 | 0.4453 0.4837 | 0.7036 0.7519 | 0.4843 0.5230 | 0.8031 0.8351 | 0.5095 0.5443 |      12.99    1186.95
 91 Rec | 373.3542  66.1249  83.8062 | 0.5849 0.6326 | 0.4449 0.4836 | 0.7047 0.7545 | 0.4840 0.5231 | 0.8017 0.8337 | 0.5087 0.5433 |      13.01    1200.30
 92 Rec | 374.0175  66.0501  83.7135 | 0.5861 0.6312 | 0.4449 0.4836 | 0.7047 0.7556 | 0.4835 0.5240 | 0.8028 0.8340 | 0.5084 0.5440 |      13.09    1213.75
 93 Rec | 371.8602  66.0226  83.6790 | 0.5827 0.6329 | 0.4439 0.4845 | 0.7038 0.7542 | 0.4834 0.5239 | 0.8031 0.8351 | 0.5086 0.5445 |      12.96    1227.04
 94 Rec | 376.5604  66.0845  83.7572 | 0.5861 0.6334 | 0.4441 0.4833 | 0.7061 0.7562 | 0.4832 0.5232 | 0.8028 0.8368 | 0.5077 0.5437 |      12.95    1240.33
 95 Rec | 375.9902  66.0688  83.7356 | 0.5870 0.6320 | 0.4439 0.4828 | 0.7065 0.7562 | 0.4829 0.5233 | 0.8022 0.8357 | 0.5072 0.5435 |      12.96    1253.64
 96 Rec | 386.6923  66.0695  83.7361 | 0.5863 0.6306 | 0.4452 0.4837 | 0.7040 0.7565 | 0.4837 0.5248 | 0.7995 0.8368 | 0.5080 0.5452 |      13.05    1267.02
 97 Rec | 378.6063  65.9493  83.5828 | 0.5820 0.6323 | 0.4419 0.4840 | 0.7049 0.7559 | 0.4820 0.5242 | 0.8024 0.8357 | 0.5067 0.5445 |      12.88    1280.23
 98 Rec | 376.7957  65.9353  83.5680 | 0.5870 0.6360 | 0.4443 0.4862 | 0.7083 0.7573 | 0.4839 0.5256 | 0.8031 0.8377 | 0.5079 0.5460 |      12.94    1293.51
 99 Rec | 376.0301  65.9915  83.6359 | 0.5863 0.6351 | 0.4428 0.4841 | 0.7081 0.7588 | 0.4825 0.5243 | 0.8040 0.8362 | 0.5068 0.5439 |      13.27    1307.11
100 Rec | 374.9403  65.9137  83.5396 | 0.5847 0.6386 | 0.4424 0.4860 | 0.7074 0.7570 | 0.4824 0.5244 | 0.8026 0.8374 | 0.5065 0.5448 |      13.10    1320.57
============================ CUR BEST ============================
 88 Rec | 375.5635  66.2383  83.9447 | 0.5874 0.6289 | 0.4477 0.4809 | 0.7061 0.7522 | 0.4863 0.5210 | 0.8062 0.8325 | 0.5116 0.5416 |      13.05    1159.99
=================================================================
101 Rec | 378.3161  65.9631  83.6017 | 0.5827 0.6394 | 0.4412 0.4839 | 0.7065 0.7556 | 0.4816 0.5214 | 0.8008 0.8359 | 0.5055 0.5419 |      13.07    1333.98
102 Rec | 378.1482  65.8652  83.4858 | 0.5883 0.6346 | 0.4446 0.4849 | 0.7076 0.7599 | 0.4834 0.5255 | 0.8026 0.8388 | 0.5074 0.5456 |      13.04    1347.34
103 Rec | 376.0194  66.0497  83.7137 | 0.5788 0.6377 | 0.4375 0.4849 | 0.7038 0.7565 | 0.4784 0.5234 | 0.8031 0.8379 | 0.5036 0.5441 |      13.17    1360.90
104 Rec | 371.1548  65.8770  83.5031 | 0.5958 0.6363 | 0.4474 0.4871 | 0.7110 0.7613 | 0.4850 0.5279 | 0.8019 0.8388 | 0.5080 0.5475 |      13.19    1374.44
105 Rec | 375.7178  65.8586  83.4758 | 0.5901 0.6400 | 0.4457 0.4872 | 0.7106 0.7570 | 0.4850 0.5253 | 0.8046 0.8396 | 0.5088 0.5462 |      13.31    1388.22
106 Rec | 373.3219  65.7974  83.3981 | 0.5910 0.6394 | 0.4470 0.4882 | 0.7101 0.7579 | 0.4860 0.5265 | 0.8071 0.8399 | 0.5105 0.5474 |      12.92    1401.57
107 Rec | 375.9644  65.8647  83.4825 | 0.5919 0.6340 | 0.4480 0.4821 | 0.7106 0.7565 | 0.4868 0.5219 | 0.7979 0.8368 | 0.5090 0.5424 |      13.04    1415.03
108 Rec | 379.6140  66.0485  83.7142 | 0.5919 0.6343 | 0.4472 0.4818 | 0.7097 0.7553 | 0.4856 0.5212 | 0.8049 0.8408 | 0.5098 0.5429 |      12.77    1428.14
109 Rec | 370.5727  65.7308  83.3129 | 0.5870 0.6388 | 0.4436 0.4870 | 0.7106 0.7588 | 0.4841 0.5260 | 0.8017 0.8394 | 0.5073 0.5465 |      12.87    1441.36
110 Rec | 371.9859  65.9394  83.5765 | 0.5854 0.6312 | 0.4404 0.4798 | 0.7081 0.7590 | 0.4803 0.5215 | 0.8071 0.8428 | 0.5055 0.5427 |      12.71    1454.39
111 Rec | 371.1644  65.7327  83.3154 | 0.5797 0.6388 | 0.4392 0.4860 | 0.7108 0.7602 | 0.4821 0.5252 | 0.8019 0.8371 | 0.5053 0.5448 |      12.89    1467.61
112 Rec | 378.1832  66.0091  83.6630 | 0.5870 0.6283 | 0.4396 0.4775 | 0.7108 0.7565 | 0.4799 0.5194 | 0.8076 0.8431 | 0.5044 0.5414 |      12.99    1480.94
113 Rec | 372.5715  65.6356  83.1920 | 0.5872 0.6397 | 0.4430 0.4857 | 0.7135 0.7588 | 0.4844 0.5245 | 0.8001 0.8359 | 0.5065 0.5442 |      12.94    1494.21
114 Rec | 369.2043  65.5924  83.1394 | 0.5897 0.6360 | 0.4471 0.4872 | 0.7146 0.7602 | 0.4878 0.5276 | 0.8071 0.8425 | 0.5112 0.5486 |      12.80    1507.34
115 Rec | 368.9709  65.4558  82.9713 | 0.5901 0.6428 | 0.4504 0.4904 | 0.7155 0.7642 | 0.4915 0.5299 | 0.8055 0.8428 | 0.5143 0.5498 |      12.77    1520.42
116 Rec | 366.4339  65.4009  82.9013 | 0.5955 0.6431 | 0.4530 0.4913 | 0.7158 0.7625 | 0.4921 0.5303 | 0.8074 0.8448 | 0.5154 0.5512 |      12.91    1533.68
117 Rec | 370.6764  65.4016  82.9027 | 0.5917 0.6394 | 0.4516 0.4884 | 0.7158 0.7613 | 0.4919 0.5281 | 0.8101 0.8456 | 0.5158 0.5495 |      12.88    1546.88
118 Rec | 377.2187  65.3575  82.8431 | 0.5935 0.6426 | 0.4538 0.4922 | 0.7153 0.7625 | 0.4935 0.5313 | 0.8089 0.8442 | 0.5172 0.5520 |      12.83    1560.02
